Event Date,Event Time,Duration,City,State,Country,Lat,Lon,TotalObservers,Summary,NumShips,Shape,NUFORC Note,Explanation,Certainty
3/15/2020,21:30:00,20-30,Burnaby (Canada),BC,Canada,49.2488091,-122.9805104,7,"This evening my husband took our dogs out side in our back yard facing north towards the mountains.   ((""Starlink"" satellites??))",200,Formation,,,
8/15/1968,19:00:00,5 minutes,St. Laurent (Canada),QC,Canada,45.5025757,-73.706127,3,"Dear Mr. Davenport : A couple weeks back, on Jeff Rense’s radio show, you asked people to come forward with their testimonies, even if ",100,Formation,Date in August 1968 is approximate.  PD,,
3/20/2012,20:30:00,2 minutes,Montreal (Canada),QC,Canada,45.5018869,-73.5673919,1,100+ UFOs in a V-shaped formation,100,Other,,,
2/20/2020,06:05:00,11 minutes,Victoria (Canada),BC,Canada,48.4284207,-123.3656444,1,"String of white lights travelling single file uniformly spaced.  ((""Starlink"" satellites??))",100,Light,,,
5/15/2001,18:30:00,10 min.,St. Thomas (Canada),ON,Canada,42.7777214,-81.1826527,5,Aliens prepared to protect themselves from other aliens,91,Oval,Witness indicates that the date of the sighting is approximate.  PD,,
6/30/2001,19:00:00,5 min.,St. Thomas (Canada),ON,Canada,42.7777214,-81.1826527,5,This big ship had 90 smaller ships surrouding it for protection.,91,Formation,Witness indicates that the date of the sighting is approximate.  PD,,
3/15/2020,21:15:00,10-15 minutes,Lake Cowichan (Canada),BC,Canada,48.8258118,-124.054167,2,"Belt of satellite-like stars 100-ish, two moved perpendicular to belt.  Lasted 10-15 mins.  ((Starlink satellites))",90,Sphere,,,
5/24/2015,21:55:00,1 minute,Ancaster (Canada),ON,Canada,43.2177791,-79.9872835,2,Orange fireball going from the the south west to the north east.,90,Fireball,,,
9/30/2022,20:10:00,approx. 10 min.,victoria,BC,Canada,48.4284207,-123.3656444,2,"long line of lights following each other, but not like pics from Space x photos these werte seperate white lights , no solid line !",80,Circle,,,
10/19/2013,20:05:00,15-20 minutes,Riverview (Canada),NB,Canada,46.0612537,-64.8052183,2,Slow-moving red/orange lights.,75,Light,Witness elects to remain totally anonymous; provides no contact information.  PD,,
3/16/2020,09:05:00,5 minutes,Victoria (Canada),BC,Canada,48.4284207,-123.3656444,25,"Flash of light, steady stream of bright lights over Victoria . There were 60-70 crafts. Bright White line  .((Starlink satellites))",70,Light,,,
5/1/2020,21:10:00,one hour +,Oshawa (Canada),ON,Canada,43.8970929,-78.8657912,1,Witnessed 65 + slow star like objects -  first 3 separate directions  ((Starlink satellites?)),65,Light,,,
12/28/2019,18:15:00,10 minutes,Cremona (Canada),AB,Canada,51.5446259,-114.4922309,4,"Unexplained row of 80 or more perfectly spaced lights cross Highway 22/  ((""Starlink"" satellites))",60,Light,,,
